User_ID,Age,Gender,Sleep_Duration,Stress_Level,Diet_Type,Daily_Screen_Time,Exercise_Frequency,Caffeine_Intake,Reaction_Time,Memory_Test_Score,Cognitive_Score
U86,53,Male,5.9,4.0,Non-Vegetarian,8.7,Low,486,500.8,80.0,32.56
U87,57,Male,8.0,7.0,Non-Vegetarian,4.2,Medium,124,595.1,76.0,37.04
U88,56,Female,9.2,7.0,Non-Vegetarian,10.9,Medium,317,505.87,56.0,30.4
U89,26,Male,8.7,4.0,Non-Vegetarian,8.2,Medium,463,331.09,70.0,72.66
U90,53,Female,8.6,7.0,Non-Vegetarian,5.9,Low,84,480.46,60.0,37.59
U91,22,Male,9.1,6.0,Vegetarian,3.5,Medium,399,232.33,61.0,89.75
U92,32,Female,5.3,8.0,Vegetarian,3.5,Low,104,533.61,83.0,34.84
U93,26,Male,4.1,5.0,Vegetarian,4.0,Low,448,466.35,84.0,42.51
U94,42,Male,8.8,7.0,Non-Vegetarian,3.6,High,331,489.74,95.0,67.46
U95,45,Male,8.3,8.0,Vegetarian,10.2,Low,176,327.08,99.0,71.77
U96,44,Male,9.3,10.0,Non-Vegetarian,5.3,High,228,382.96,52.0,58.26
U97,50,Male,5.7,6.0,Non-Vegetarian,5.1,Medium,323,466.09,51.0,38.11
U98,50,Male,9.9,1.0,Non-Vegetarian,5.1,High,372,588.46,70.0,49.63
U99,55,Female,4.7,8.0,Non-Vegetarian,1.2,Low,398,513.61,97.0,41.54
U100,25,Female,5.0,10.0,Non-Vegetarian,4.9,Medium,362,534.34,91.0,36.85
U101,21,Female,7.1,3.0,Vegetarian,2.6,High,499,208.04,80.0,100.0
U102,53,Female,8.3,3.0,Vegetarian,5.6,Medium,220,287.66,67.0,88.36
U103,48,Male,6.9,2.0,Vegetarian,9.5,High,50,349.02,51.0,71.88
U104,27,Female,,6.0,Vegetarian,2.8,High,363,435.32,96.0,76.79
U105,58,Female,5.5,9.0,Non-Vegetarian,7.5,Medium,135,380.93,95.0,68.06
U106,59,Male,5.6,1.0,Non-Vegetarian,2.1,Low,143,445.83,67.0,57.39
U107,25,Male,8.9,10.0,Non-Vegetarian,10.6,Low,194,273.23,47.0,50.98
U108,47,Male,5.6,1.0,Non-Vegetarian,5.9,High,176,485.36,77.0,64.44
U109,31,Female,6.7,8.0,Vegan,10.7,Medium,146,298.99,69.0,68.1
U110,52,Female,9.7,9.0,Vegetarian,2.4,Medium,124,482.4,74.0,56.92
U111,20,Male,5.3,9.0,Non-Vegetarian,8.3,Low,415,448.72,76.0,30.06
U112,46,Female,7.4,1.0,Non-Vegetarian,7.0,Low,498,487.13,89.0,50.65
U113,33,Male,,3.0,Non-Vegetarian,11.3,Medium,245,555.91,68.0,36.1
U114,27,Female,7.1,4.0,Non-Vegetarian,10.1,Low,293,344.9,91.0,68.21
U115,21,Female,8.7,5.0,Vegetarian,8.1,Low,282,514.89,88.0,42.8
U116,21,Male,7.6,3.0,Non-Vegetarian,10.9,High,341,483.02,87.0,59.03
U117,19,Male,5.5,3.0,Vegetarian,9.2,Low,456,357.53,87.0,60.99
U118,28,Female,6.6,3.0,Vegan,2.1,High,71,438.16,59.0,69.1
U119,32,Male,9.1,9.0,Vegetarian,11.1,Low,259,337.52,48.0,41.12
U120,28,Female,6.9,5.0,Vegetarian,3.4,Medium,304,569.01,89.0,47.28
U121,40,Female,8.4,5.0,Non-Vegetarian,3.6,Medium,377,340.31,73.0,78.64
U122,55,Female,8.9,3.0,Non-Vegetarian,9.1,Medium,19,533.51,70.0,48.85
U123,47,Female,7.4,2.0,Non-Vegetarian,2.2,High,54,440.87,93.0,89.44
U124,18,Female,7.4,10.0,Vegetarian,4.2,Medium,140,319.02,57.0,66.03
U125,50,Female,4.3,4.0,Non-Vegetarian,1.8,Low,419,521.3,47.0,21.14
U126,54,Female,7.2,6.0,Non-Vegetarian,9.8,High,34,397.58,84.0,72.76
U127,40,Male,5.6,7.0,Vegan,7.2,Low,59,373.44,98.0,66.98
U128,35,Female,5.7,6.0,Vegetarian,2.2,Medium,274,563.64,53.0,28.18
U129,27,Female,4.3,1.0,Vegetarian,9.9,Low,498,207.23,42.0,63.25
U130,34,Female,5.3,,Vegetarian,11.0,Medium,114,461.97,59.0,41.32
U131,24,Male,8.2,1.0,Non-Vegetarian,6.2,Medium,114,209.2,46.0,95.95
U132,32,Other,9.3,3.0,Non-Vegetarian,8.8,High,77,212.51,43.0,93.94
U133,44,Male,6.6,4.0,Non-Vegetarian,8.5,Low,89,477.11,86.0,49.15
U134,26,Female,6.5,7.0,Vegetarian,3.2,Low,90,210.53,85.0,94.81
U135,38,Male,8.6,2.0,Non-Vegetarian,5.6,Medium,470,469.24,58.0,51.19
U136,54,Male,4.4,4.0,Vegetarian,11.5,Medium,147,345.86,77.0,66.47
U137,46,Male,9.6,8.0,Non-Vegetarian,2.2,High,257,390.2,82.0,80.73
U138,59,Male,4.4,5.0,Non-Vegetarian,5.1,Medium,104,384.69,,62.46
U139,50,Female,4.9,4.0,Non-Vegetarian,2.7,Low,54,575.0,98.0,44.84
U140,23,Male,5.0,2.0,Non-Vegetarian,9.7,Low,47,566.59,61.0,21.58
U141,42,Male,9.3,7.0,Non-Vegetarian,2.5,Low,377,428.67,66.0,49.86
U142,52,Female,7.5,4.0,Non-Vegetarian,3.7,Medium,376,378.25,92.0,81.89
U143,34,Male,7.5,4.0,Vegetarian,5.7,Low,351,570.27,69.0,25.88
U144,44,Female,9.3,9.0,Non-Vegetarian,1.8,Medium,5,338.37,63.0,77.9
U145,57,Other,8.9,4.0,Non-Vegetarian,3.0,High,356,357.6,,76.58
U146,42,Female,10.0,9.0,Non-Vegetarian,9.5,Medium,369,368.18,42.0,45.01
U147,29,Female,8.9,9.0,Non-Vegetarian,7.4,Medium,109,580.46,74.0,31.78
U148,54,Male,7.7,2.0,Vegan,2.4,Low,4,379.11,44.0,61.54
U149,57,Female,4.4,9.0,Vegetarian,3.9,Medium,343,279.05,46.0,59.58
U150,55,Male,5.2,9.0,Non-Vegetarian,2.7,Medium,494,521.68,68.0,30.52
U151,58,Male,8.1,,Non-Vegetarian,4.3,Medium,247,543.68,62.0,30.2
U152,42,Female,,8.0,Vegan,6.1,Low,67,229.35,50.0,70.28
U153,19,Male,4.9,4.0,Vegetarian,7.8,High,341,345.89,99.0,85.13
U154,18,Female,6.1,3.0,Non-Vegetarian,11.9,Low,448,312.11,49.0,46.87
U155,20,Male,9.6,1.0,Non-Vegetarian,10.7,High,145,479.36,75.0,65.86
U156,46,Male,8.2,9.0,Non-Vegetarian,2.6,Low,470,402.68,68.0,46.99
U157,31,Male,5.3,7.0,Non-Vegetarian,10.0,High,277,466.45,81.0,48.82
U158,51,Male,,2.0,Non-Vegetarian,7.8,Low,5,383.9,,65.22
U159,39,Female,4.5,8.0,Non-Vegetarian,7.2,Low,63,540.85,55.0,13.3
U160,53,Female,9.0,8.0,Vegetarian,6.4,Low,470,465.62,54.0,27.4
U161,32,Male,9.7,7.0,Vegetarian,5.0,Low,154,536.13,72.0,36.46
U162,54,Male,7.8,1.0,Non-Vegetarian,2.6,Low,292,511.64,49.0,38.09
U163,27,Male,5.0,7.0,Vegan,7.4,Medium,151,502.74,66.0,36.09
U164,26,Female,4.2,8.0,Non-Vegetarian,10.7,Medium,5,448.98,89.0,50.92
U165,52,Male,7.7,2.0,Vegetarian,8.5,High,219,453.39,51.0,54.2
U166,59,Male,4.7,6.0,Vegetarian,9.4,Medium,143,489.37,79.0,43.38
U167,34,Female,9.8,9.0,Vegan,1.9,Medium,415,522.55,40.0,28.36
U168,35,Male,7.5,8.0,Vegan,2.9,High,10,462.88,48.0,51.3
U169,42,Male,6.5,8.0,Vegetarian,9.2,Medium,46,280.77,,86.99
U170,52,Male,,7.0,Vegetarian,10.4,Medium,114,584.2,53.0,10.25
U171,33,Female,8.2,8.0,Non-Vegetarian,6.3,Medium,391,448.69,67.0,46.85
U172,42,Male,7.8,4.0,Vegetarian,10.0,Medium,492,419.46,83.0,59.35
U173,33,Female,6.7,4.0,Vegetarian,4.2,Low,1,290.29,64.0,77.7
U174,58,Male,9.3,1.0,Vegetarian,5.3,Medium,481,325.64,49.0,74.26
U175,41,Female,6.5,5.0,Non-Vegetarian,1.7,Low,416,426.01,,62.13
U176,29,Female,5.4,6.0,Non-Vegetarian,4.1,High,244,581.58,41.0,21.34
U177,52,Male,,6.0,Vegetarian,1.1,High,349,447.34,57.0,59.31
U178,26,Female,9.5,,Non-Vegetarian,11.7,Medium,139,574.72,68.0,23.88
U179,54,Female,9.9,2.0,Vegetarian,1.1,Medium,295,346.97,77.0,93.92
U180,49,Male,4.0,6.0,Non-Vegetarian,1.3,Low,120,488.47,47.0,28.74
U181,36,Male,6.0,4.0,Non-Vegetarian,6.7,Low,493,434.19,40.0,26.73
U182,39,Female,,5.0,Non-Vegetarian,11.7,Low,157,484.44,71.0,32.67
U183,51,Male,8.4,4.0,Non-Vegetarian,2.9,Medium,64,395.47,78.0,81.26
U184,36,Male,6.3,8.0,Non-Vegetarian,11.1,Medium,32,483.53,57.0,32.22
U185,29,Male,7.3,3.0,Vegan,4.2,Medium,83,424.51,80.0,74.89
U186,35,Female,6.3,6.0,Non-Vegetarian,5.9,Low,33,210.36,,82.53
U187,22,Female,4.3,6.0,Non-Vegetarian,4.2,High,385,551.95,56.0,28.61
U188,43,Male,6.9,,Vegetarian,2.6,Medium,449,279.7,58.0,76.3
U189,44,Male,9.5,9.0,Non-Vegetarian,11.1,Medium,198,452.13,42.0,31.03
U190,37,Female,6.5,5.0,Vegetarian,8.7,Low,110,270.09,,77.24
U191,25,Female,7.5,2.0,Vegetarian,8.0,Medium,256,342.79,63.0,73.25
U192,33,Female,4.1,8.0,Non-Vegetarian,3.3,Medium,433,381.51,97.0,68.5
U193,19,Male,8.7,9.0,Non-Vegetarian,8.9,Low,426,366.76,61.0,41.9
U194,18,Male,9.6,1.0,Non-Vegetarian,3.3,Low,41,583.08,72.0,45.25
U195,22,Male,9.9,8.0,Vegan,8.8,Medium,124,411.26,97.0,73.08
U196,48,Male,5.7,5.0,Vegetarian,1.2,Low,492,258.61,56.0,69.66
U197,40,Female,5.4,4.0,Non-Vegetarian,3.8,High,363,347.42,64.0,73.94
U198,38,Other,9.1,2.0,Vegetarian,3.3,Low,314,274.2,60.0,82.27
U199,29,Female,9.7,4.0,Non-Vegetarian,8.1,High,227,276.83,75.0,96.07
U200,21,Female,9.6,8.0,Non-Vegetarian,7.4,Medium,269,506.36,53.0,33.83
U201,54,Female,4.5,6.0,Non-Vegetarian,3.6,Medium,47,251.88,97.0,100.0
U202,28,Female,6.6,8.0,Non-Vegetarian,4.3,Low,349,481.2,58.0,27.57
U203,59,Female,5.0,8.0,Vegetarian,3.0,Low,410,367.85,57.0,43.49
U204,57,Male,,7.0,Non-Vegetarian,9.9,Low,46,401.63,65.0,43.79
U205,26,Male,6.3,6.0,Vegan,9.7,Medium,231,520.59,43.0,21.17
U206,43,Female,7.3,9.0,Non-Vegetarian,10.6,Medium,397,200.82,83.0,85.79
U207,56,Male,6.1,3.0,Non-Vegetarian,8.2,High,7,381.23,44.0,62.22
U208,44,Female,,9.0,Non-Vegetarian,10.6,Low,483,321.0,83.0,52.24
U209,46,Male,,1.0,Vegan,6.2,Low,18,456.43,93.0,62.97
U210,42,Female,4.9,10.0,Vegetarian,2.2,Medium,157,534.94,60.0,29.2
U211,35,Male,8.9,5.0,Vegan,10.1,Medium,224,345.39,60.0,65.6
U212,47,Female,7.3,2.0,Non-Vegetarian,10.8,Low,301,366.97,81.0,62.72
U213,25,Female,6.1,,Non-Vegetarian,9.3,Low,344,560.0,,10.04
U214,19,Male,8.2,6.0,Non-Vegetarian,5.6,Low,469,518.14,44.0,17.26
U215,39,Female,6.8,1.0,Vegetarian,11.3,Low,292,515.39,98.0,46.91
U216,38,Other,10.0,8.0,Non-Vegetarian,4.7,Low,61,205.33,74.0,93.51
U217,56,Female,6.7,3.0,Non-Vegetarian,6.9,Low,411,597.98,87.0,27.67
U218,43,Male,9.9,4.0,Non-Vegetarian,2.1,Low,46,451.85,75.0,64.92
U219,46,Male,4.2,8.0,Vegetarian,5.8,High,203,519.42,92.0,49.07
U220,22,Female,7.7,3.0,Non-Vegetarian,10.5,Medium,27,270.36,42.0,74.05
U221,31,Female,4.3,2.0,Non-Vegetarian,2.1,Medium,269,571.9,73.0,42.25
U222,52,Female,8.1,7.0,Vegetarian,10.8,Medium,472,474.99,,23.89
U223,23,Female,7.7,4.0,Vegetarian,11.6,High,242,229.91,80.0,96.84
U224,40,Male,,8.0,Vegetarian,7.8,Medium,302,276.64,,58.65
U225,34,Female,7.2,2.0,Non-Vegetarian,11.0,Low,238,490.52,70.0,37.39
U226,41,Female,5.2,,Non-Vegetarian,1.3,Medium,201,485.88,55.0,37.95
U227,57,Female,6.0,7.0,Non-Vegetarian,2.3,High,396,540.08,76.0,44.62
U228,46,Female,5.6,2.0,Vegetarian,2.8,Medium,325,293.94,53.0,79.01
U229,47,Male,4.0,8.0,Vegan,3.2,Low,367,481.04,58.0,23.69
U230,41,Female,5.1,4.0,Vegetarian,3.9,Medium,405,542.45,42.0,23.84
U231,52,Female,8.1,3.0,Non-Vegetarian,8.1,Medium,80,286.74,96.0,100.0
U232,54,Female,4.7,6.0,Non-Vegetarian,5.4,High,233,438.2,49.0,46.11
U233,19,Male,7.1,8.0,Non-Vegetarian,11.1,Low,73,415.47,53.0,32.34
U234,38,Male,8.5,2.0,Non-Vegetarian,8.5,Low,455,546.38,68.0,29.09
U235,57,Male,8.8,7.0,Non-Vegetarian,4.8,High,108,280.15,64.0,89.55
U236,58,Female,9.5,1.0,Non-Vegetarian,3.3,Low,82,356.53,52.0,71.99
U237,22,Male,6.9,8.0,Non-Vegetarian,7.7,High,166,285.89,45.0,67.78
U238,52,Male,7.1,3.0,Non-Vegetarian,3.7,Low,415,414.41,74.0,57.28
U239,52,Female,9.2,2.0,Vegetarian,8.6,Medium,438,426.9,40.0,46.59
U240,36,Male,,8.0,Non-Vegetarian,7.1,Low,424,290.3,70.0,62.89
U241,33,Male,7.8,7.0,Non-Vegetarian,5.1,Medium,344,336.73,78.0,74.95
U242,42,Male,5.9,8.0,Non-Vegetarian,1.0,High,57,253.23,58.0,89.96
U243,33,Male,9.6,7.0,Non-Vegetarian,11.5,High,128,495.29,43.0,34.34
U244,48,Female,,8.0,Non-Vegetarian,9.3,Medium,499,504.05,93.0,43.96
U245,50,Female,8.8,2.0,Vegetarian,10.5,Low,466,228.1,66.0,78.51
U246,34,Male,6.0,4.0,Vegan,11.4,Low,186,227.43,43.0,61.78
U247,38,Female,5.2,9.0,Vegetarian,6.9,High,448,571.69,,21.31
U248,52,Male,7.3,4.0,Vegan,6.3,Low,229,454.29,66.0,44.86
U249,40,Female,8.9,9.0,Vegetarian,8.7,Medium,143,479.97,82.0,49.9
U250,33,Female,5.9,1.0,Vegan,8.8,High,38,210.56,92.0,100.0
U251,55,Male,9.6,8.0,Non-Vegetarian,1.3,Medium,239,382.36,84.0,79.74
U252,31,Female,6.3,2.0,Non-Vegetarian,11.0,High,183,565.35,83.0,45.71
U253,57,Male,8.3,4.0,Non-Vegetarian,11.2,Medium,94,251.11,54.0,80.07
U254,58,Male,8.4,10.0,Non-Vegetarian,3.4,High,282,542.67,46.0,28.62
U255,50,Male,8.3,3.0,Vegetarian,10.4,Medium,12,208.78,80.0,100.0
U256,38,Male,7.2,10.0,Non-Vegetarian,12.0,Medium,400,238.25,52.0,59.69
U257,34,Male,8.9,1.0,Non-Vegetarian,3.6,Medium,78,349.61,77.0,94.07
U258,21,Male,8.3,4.0,Vegan,7.4,Medium,202,200.91,92.0,100.0
U259,33,Female,8.6,9.0,Non-Vegetarian,7.5,Medium,423,320.24,81.0,71.62
U260,47,Male,9.5,6.0,Non-Vegetarian,1.7,Medium,403,416.94,80.0,71.9
U261,51,Male,6.1,10.0,Vegan,6.9,Low,324,545.41,90.0,24.47
U262,39,Male,9.8,4.0,Vegetarian,3.1,High,97,489.9,50.0,58.36
U263,59,Male,9.5,3.0,Vegan,12.0,Low,149,537.05,53.0,24.01
U264,46,Male,8.6,,Vegetarian,4.2,Low,463,335.81,54.0,55.67
U265,22,Female,7.3,9.0,Non-Vegetarian,11.6,Low,10,532.03,40.0,5.33
U266,18,Male,4.0,1.0,Vegetarian,1.4,Low,272,331.38,53.0,64.73
U267,57,Female,8.5,8.0,Vegetarian,1.7,Low,223,265.92,97.0,93.17
U268,42,Male,9.5,5.0,Non-Vegetarian,5.9,Medium,71,309.72,92.0,98.11
U269,23,Female,6.7,9.0,Non-Vegetarian,5.1,Low,178,251.74,49.0,61.73
U270,40,Female,5.3,6.0,Vegetarian,12.0,Medium,35,397.21,76.0,56.7
U271,50,Male,8.4,8.0,Vegetarian,2.4,High,59,308.8,63.0,86.05
U272,31,Male,7.6,6.0,Vegan,8.0,Low,186,397.83,82.0,57.18
U273,59,Male,10.0,6.0,Vegan,10.0,High,434,512.46,40.0,28.91
U274,53,Male,5.1,9.0,Vegetarian,1.3,High,203,578.49,58.0,28.77
U275,35,Male,5.9,5.0,Vegetarian,1.0,Low,397,463.95,88.0,54.04
U276,57,Female,,10.0,Vegetarian,3.8,Low,57,483.77,78.0,44.73
U277,27,Female,8.0,10.0,Vegan,9.3,Medium,407,249.53,51.0,62.82
U278,56,Male,9.0,5.0,Non-Vegetarian,11.5,High,333,366.39,69.0,67.53
U279,29,Female,8.2,4.0,Vegetarian,4.1,Medium,70,415.41,45.0,59.12
U280,55,Female,5.3,7.0,Non-Vegetarian,8.5,Low,27,414.68,57.0,37.7
U281,40,Female,7.6,1.0,Non-Vegetarian,11.9,Low,392,229.55,84.0,86.25
U282,24,Male,9.6,4.0,Non-Vegetarian,3.2,High,368,395.04,87.0,86.7
U283,42,Male,7.9,,Vegetarian,1.8,Low,368,435.79,98.0,75.11
U284,30,Male,7.9,3.0,Vegan,7.3,Low,340,216.59,68.0,84.95
U285,55,Female,9.0,,Non-Vegetarian,10.7,Low,432,458.65,49.0,22.37
U286,36,Female,,5.0,Non-Vegetarian,9.1,Medium,235,497.25,87.0,53.68
U287,39,Male,8.8,10.0,Non-Vegetarian,1.9,Medium,482,567.65,43.0,17.0
U288,58,Male,5.8,1.0,Non-Vegetarian,11.7,High,492,290.16,59.0,73.35
U289,28,Female,7.2,10.0,Vegan,1.6,Medium,189,550.82,43.0,22.92
U290,59,Male,9.2,2.0,Non-Vegetarian,3.6,High,440,571.33,69.0,49.48
U291,20,Male,7.9,1.0,Non-Vegetarian,11.1,Medium,127,336.45,99.0,93.04
U292,36,Female,6.0,5.0,Vegetarian,9.8,Medium,473,534.97,65.0,26.18
U293,44,Male,5.7,6.0,Non-Vegetarian,5.6,High,460,315.72,60.0,69.18
U294,24,Female,8.6,4.0,Non-Vegetarian,8.6,Low,2,433.45,88.0,63.02
U295,54,Male,8.1,10.0,Vegetarian,6.1,High,132,204.92,57.0,88.76
U296,44,Female,,3.0,Non-Vegetarian,9.4,Low,9,348.38,80.0,70.46
U297,51,Female,5.2,7.0,Non-Vegetarian,6.7,Medium,2,448.37,71.0,52.08
U298,28,Female,5.8,9.0,Non-Vegetarian,9.8,Medium,444,550.3,66.0,16.3
U299,55,Male,9.3,4.0,Vegan,11.1,Low,63,308.32,42.0,57.3
U300,22,Male,6.1,6.0,Vegetarian,10.1,Medium,490,552.64,95.0,35.64
U301,24,Male,7.1,1.0,Non-Vegetarian,9.1,High,1,559.16,92.0,61.34
U302,53,Female,5.9,8.0,Non-Vegetarian,6.6,Medium,105,201.25,87.0,98.76
U303,22,Female,8.7,,Non-Vegetarian,2.0,Medium,433,417.64,98.0,78.13
U304,22,Male,5.2,2.0,Non-Vegetarian,11.1,Medium,43,345.68,47.0,59.78
U305,44,Female,9.0,4.0,Vegan,6.6,Medium,31,420.76,47.0,57.85
